,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287
0,8449.72,8304.187,7923.609,7753.575,7967.112,8229.341,8596.086,9247.323,9889.807,10543.1,10995.05,11219.85,11295.46,11264.65,11142.27,11008.46,11000.47,11020.34,10953.78,11220.23,11790.34,11332.12,10282.74,9316.979,8617.67,8304.72,8045.153,7930.248,8096.543,8396.3,8774.754,9445.138,10099.47,10762.1,11183.949,11261.722,11336.077,11308.778,11251.549,11099.811,11018.667,11006.217,10939.758,11262.18,11783.855,11312.973,10302.194,9405.718,8636.277,8274.371,7906.061,7747.49,7936.946,8200.179,8577.261,9220.406,9866.36,10509.439,10950.345,11164.324,11240.099,11211.783,11097.441,10966.781,10957.178,11035.097,11015.516,11180.991,11790.89,11286.036,10251.111,9294.827,8484.069,8213.256,7847.474,7642.725,7687.539,8079.402,8588.546,8971.263,9593.675,10144.6,10578.61,10816.49,10920.52,10796.907,10729.006,10661.848,10675.232,10738.312,11363.061,11689.751,11345.777,10703.02,9827.356,9042.83,9123.06,8717.178,8315.447,7964.579,7750.433,7867.535,8233.053,8758.194,9289.535,9928.001,10526.05,10746.27,10683.97,10520.49,10320.98,10129.68,9998.57,10171.42,11403.62,12007.8,11764.87,11422.22,10853.64,9964.442,8503.47,8473.857,8062.52,7908.884,8106.555,8469.158,9153.154,9654.223,10209.79,10999.03,11484.68,11733.37,11857.04,11897.43,11828.33,11765.76,11680.23,11639.55,11991.14,12452.11,12080.53,11382.28,10298.2,9427.046,8936.595,8759.209,8392.474,8234.84,8206.941,8434.169,8645.772,9143.358,9942.635,10696.61,11054.68,11215.31,11296.4,11281.2,11209.08,11132.32,11182.36,11181.21,11128.84,11018.54,11559.6,11435.04,10434.54,9536.241,8857.181,8352.397,7922.468,7561.7,7668.973,7848.695,8150.923,8653.735,9236.204,9882.116,10358.049,10644.818,10720.432,10694.924,10628.136,10485.806,10405.803,10412.247,10633.265,11473.029,11617.258,11118.291,10244.538,9369.936,8423.758,8267.082,7954.06,7734.329,7753.317,8028.951,8334.36,8767.61,9495.745,10084.64,10442.05,10622.05,10616.51,10627.2,10602.07,10562.53,10604.18,10576.09,10551.79,10818.69,11455.26,10962.85,9936.198,9054.641,10491.79,9940.817,9517.824,9362.471,9429.656,9725.737,9985.86,10603.19,11553.61,12454.04,13102.1,13662.32,14206.33,14669.73,15062.55,15369.92,15550.12,15463.74,15081.17,14466.96,14414.99,13760.66,12642.94,11455.35,8486.401,8060.556,7702.868,7615.113,7625.5,7832.814,8364.747,8754.828,9360.012,9887.285,10360.76,10554.13,10552.87,10454.8,10383.97,10228.17,10014.1,10026.64,10209.41,11043.99,11225.8,10699.11,9953.312,9179.421,9641.232,9255.393,8958.373,8737.258,8887.621,9199.571,9618.228,10327.99,11205.59,11814.8,12405.21,12755.66,12920.31,13021.19,13058.03,13128.93,13137.6,13142.88,13070.0,12811.08,12847.62,12827.24,11794.07,10532.52
1,8775.266,8275.295,7893.264,7825.967,7937.535,8141.958,8668.015,9053.421,9667.812,10214.21,10708.66,10915.24,10908.04,10809.58,10728.17,10568.63,10345.47,10358.42,10541.2,11409.44,11594.85,11059.39,10279.33,9472.079,8969.654,8471.255,8140.887,8029.933,8233.07,8491.422,8857.157,9500.253,10173.73,10843.54,11322.3,11550.33,11620.69,11588.92,11466.75,11338.76,11306.54,11303.26,11276.628,11540.18,12098.89,11612.08,10561.88,9567.488,8602.387,8352.184,8099.095,8013.47,8223.743,8542.756,9044.839,9603.684,10275.0,10953.77,11317.671,11432.542,11413.68,11385.74,11325.63,11173.09,11086.27,11069.42,11008.369,11329.78,11888.697,11445.548,10521.662,9595.83,9343.466,8801.966,8338.815,8082.806,8014.563,8214.292,8637.816,9232.014,9669.799,10155.145,10698.581,10851.7,10847.54,10704.88,10511.609,10351.546,10289.48,10377.885,11609.902,12269.991,12087.098,11744.12,11107.821,10176.752,8662.934,8459.117,8114.038,7947.869,8073.299,8368.009,8933.692,9350.935,9935.775,10610.16,11111.99,11324.504,11359.686,11444.63,11503.33,11464.01,11388.53,11406.217,11916.496,12226.505,11818.989,11232.741,10204.54,9391.487,8844.55,8360.202,8066.111,8039.7,8334.301,8606.848,9143.996,9632.423,10298.2,10907.517,11356.912,11580.445,11655.629,11624.986,11503.298,11370.251,11362.299,11355.45,11289.403,11580.82,12119.452,11664.799,10647.308,9631.12,9377.982,8788.971,8562.231,8452.465,8517.732,8744.658,8956.301,9448.414,10241.32,10965.824,11337.241,11492.206,11576.984,11709.328,11721.465,11704.88,11639.811,11566.908,11492.26,11460.813,11983.052,11714.183,10720.606,9838.69,8931.14,8412.017,8096.359,8026.546,8255.405,8632.664,9207.634,9803.883,10491.03,11093.58,11398.67,11477.99,11547.84,11520.15,11462.6,11307.09,11227.28,11243.346,11177.975,11464.08,12008.266,11545.085,10492.63,9572.678,8569.415,8320.706,8011.393,7876.108,8114.653,8373.417,8703.79,9206.453,9879.209,10459.017,10783.307,10903.187,10860.702,10738.093,10598.331,10504.015,10517.997,10498.068,10481.131,10800.075,11396.875,10956.347,10058.138,9257.011,8800.166,8454.268,8222.684,8035.361,8113.881,8387.367,8690.397,9120.27,9864.094,10479.09,10858.26,11052.72,11042.48,11060.6,11028.15,10983.81,11023.9,10994.56,10966.25,11236.23,11892.01,11387.33,10307.15,9405.638,10578.631,10218.6,9725.994,9535.777,9595.8,9920.525,10387.828,10971.137,11855.266,12724.675,13356.142,13882.853,14405.251,14855.544,15251.75,15561.595,15722.418,15645.785,15273.832,14672.046,14612.579,13992.913,12922.583,11770.73,9342.412,8983.872,8684.054,8566.648,8758.741,9101.508,9433.382,10058.393,10792.262,11513.236,12056.113,12326.456,12416.282,12396.08,12338.495,12244.789,12105.692,11917.591,11806.73,11769.039,12304.85,12107.458,11079.879,10006.625
2,11211.42,10490.057,9963.116,9790.577,9900.842,10381.631,11199.884,11832.908,12833.039,13599.364,14308.481,14796.912,15141.592,15814.633,16299.124,16698.278,16826.886,16679.998,16118.382,15472.915,15582.233,14758.808,13319.073,12076.685,10137.08,9335.886,8851.754,8623.327,8602.73,8927.157,9536.827,10646.64,11527.205,12043.1,12242.121,12341.354,12196.461,12003.086,11814.713,11684.162,11604.08,12065.519,13501.749,13743.17,13498.89,13095.43,12407.76,11265.45,9418.052,8854.587,8454.979,8246.917,8158.906,8350.275,8957.081,9992.404,10435.683,11097.454,11628.567,11802.27,11769.396,11662.865,11570.435,11316.947,11090.471,11093.222,11662.349,12672.846,12488.684,12054.81,11296.45,10286.04,9122.184,8693.724,8368.919,8302.12,8485.466,8957.772,9959.837,10380.114,10969.209,11648.5,12153.976,12448.571,12573.59,12528.161,12548.167,12508.566,12481.043,12555.7,12874.5,13197.24,12785.6,11985.56,10773.87,9720.108,9863.644,9416.217,9157.971,9008.735,9072.193,9483.993,10340.134,11048.838,11845.128,12515.551,13015.654,13347.32,13668.45,14065.804,14171.002,14220.867,14126.097,13918.417,13688.888,13978.937,13870.063,13111.382,11879.249,10546.13,10219.58,9721.574,9416.54,9307.868,9410.763,9881.463,10199.599,11334.27,12198.67,12821.86,13333.47,13756.425,13910.093,14016.318,14090.615,14160.681,14254.61,14069.63,13920.007,13566.034,13546.286,13411.63,12490.864,11285.929,11261.818,10573.44,10040.0,9788.422,9907.825,10329.53,10967.72,11856.663,12806.74,13549.947,14392.509,15064.421,15437.967,15908.538,16298.385,16672.114,16812.044,16678.312,16280.191,15626.161,15428.145,15051.047,13727.82,12351.4,9272.223,8691.507,8407.353,8268.742,8452.995,8970.464,9846.858,10789.704,11496.102,11959.969,12259.478,12370.028,12381.001,12512.684,12475.518,12267.363,12251.777,12212.436,11995.894,12257.693,12819.121,12291.359,11088.661,9882.007,9000.297,8586.069,8295.669,8260.018,8508.315,8955.838,9805.892,10353.847,11037.037,11667.849,12120.619,12168.615,12081.464,12047.188,11900.381,11692.86,11550.23,11407.346,11408.097,11696.79,12165.27,11644.239,10627.728,9659.157,9004.514,8463.593,8136.748,8060.254,8248.562,8693.354,9506.697,10111.296,10760.925,11439.304,11816.0,11904.25,11856.37,11821.07,11752.96,11612.97,11423.04,11304.95,11372.09,12170.761,12382.419,11718.26,10657.725,9660.324,9438.37,9100.379,8785.446,8672.981,8867.893,9452.081,10016.2,10758.786,11612.555,12384.92,12718.43,12841.58,12815.03,12887.34,12846.06,12773.09,12736.76,12633.56,12456.292,12427.491,12895.144,12603.576,11429.322,10248.09,9619.569,9085.267,8614.72,8325.342,8264.954,8522.477,9056.76,9729.707,10216.48,10813.433,11268.791,11481.81,11489.824,11341.733,11195.35,11039.38,10912.8,11006.251,12243.17,12851.598,12667.77,12222.243,11579.092,10508.75
3,9799.072,9099.928,8716.821,8507.345,8467.965,8726.136,9405.769,10578.247,11532.87,11876.266,12118.721,12169.076,12018.977,11836.602,11679.524,11508.18,11345.495,11494.636,12694.3,13224.44,13006.251,12609.601,11860.395,10714.85,9155.483,8633.764,8323.486,8133.788,8183.972,8661.036,9442.063,10516.314,11326.73,11836.91,12216.71,12437.777,12468.87,12369.53,12315.78,12142.923,11934.65,12014.56,12924.2,13065.51,12746.93,12162.288,11288.88,10188.42,10531.297,9895.106,9544.927,9463.006,9566.394,9924.858,10597.967,11709.099,12653.155,13329.35,13825.38,14319.049,14509.5,14811.31,15048.652,15089.663,15004.456,14880.101,14598.729,14135.444,14148.292,13946.848,12851.2,11581.53,9879.255,9373.361,9086.566,8986.745,9127.838,9567.371,10346.979,11389.18,12153.559,12754.8,13242.4,13576.0,13596.39,13725.2,13729.859,13686.75,13639.504,13539.154,13293.529,13135.547,13372.712,13076.88,11928.525,10686.699,9639.275,9271.309,8943.573,8893.793,9006.273,9521.329,10266.003,11375.615,12124.967,12615.571,12966.395,13113.342,13142.068,13250.279,13257.788,13166.441,13102.713,12973.81,12759.05,12634.723,13059.394,12797.2,11577.495,10306.645,9375.483,8824.327,8599.404,8469.207,8605.004,9216.858,10121.0,11086.592,11880.288,12439.528,12809.3,12991.073,13062.17,13126.621,13076.924,13016.581,12860.143,12749.514,12614.72,12650.795,13079.732,12555.033,11341.78,10112.52,9141.112,8657.578,8373.247,8284.911,8530.411,9139.409,10110.944,10970.23,11618.229,12050.019,12344.577,12386.013,12327.632,12366.198,12303.76,12105.76,11980.758,11824.651,11608.75,11845.773,12377.493,11840.28,10760.679,9805.181,9357.831,8768.919,8523.888,8436.995,8737.497,9295.852,10375.36,11461.6,12021.02,12481.759,12779.508,12872.751,12899.221,13019.837,12955.274,12795.868,12685.54,12488.548,12292.912,12392.326,12859.964,12294.701,11169.52,10005.35,11591.92,10702.51,10334.557,10028.497,10169.675,10517.21,11141.88,12093.355,13116.83,13929.7,14813.03,15494.215,16016.37,16709.465,17151.329,17519.467,17671.596,17533.432,17085.79,16382.52,15991.696,15512.471,14062.74,12613.77,10059.931,9157.575,8834.892,8702.744,8893.564,9486.895,10548.51,11510.714,12178.899,12754.38,13240.918,13501.164,13921.406,14181.159,14299.686,14288.851,14222.668,14040.37,14055.011,14335.567,13930.572,13020.373,11751.391,10507.864,11373.786,10653.62,10162.15,9905.701,9975.155,10558.69,11447.61,12363.663,13264.343,14137.88,15017.804,15568.96,16023.018,16701.945,17163.689,17565.75,17701.327,17483.434,16920.864,16286.46,16125.198,15347.39,13695.424,12330.216,9208.573,8628.871,8315.276,8325.653,8456.748,8999.219,10029.81,11211.03,11668.863,11986.045,12222.974,12248.768,12198.986,12231.72,12106.674,11932.322,11734.807,11625.328,11699.88,12429.42,12572.78,11949.94,10854.749,9927.05
4,10662.811,10124.287,9903.639,9719.822,9810.936,10092.872,10676.949,11781.51,12724.257,13382.254,13928.291,14192.559,14362.95,14613.155,14666.744,14744.18,14802.94,14695.41,14321.454,14005.457,13986.047,13947.684,12892.822,11611.238,9574.945,9063.86,8751.749,8630.781,8825.341,9495.948,10480.047,11595.207,12067.32,12570.35,12971.18,13199.06,13267.28,13451.51,13472.24,13417.95,13309.83,13145.895,13482.304,13795.585,13361.105,12570.861,11415.389,10311.116,9568.311,9077.124,8843.288,8725.63,8836.251,9438.737,10356.936,11366.331,12144.276,12745.542,13226.19,13473.461,13496.32,13652.243,13741.227,13667.065,13547.881,13345.975,13127.674,13216.56,13690.23,12949.85,11713.2,10422.706,9520.211,8986.0,8724.001,8685.157,8920.666,9583.709,10630.53,11751.7,12328.217,12783.046,13085.128,13206.692,13242.045,13308.47,13273.257,13149.121,13007.451,12828.309,12570.154,12682.469,13203.439,12630.822,11441.588,10239.632,9331.885,8977.538,8631.829,8524.774,8690.809,9217.242,10271.768,11386.22,11923.865,12363.621,12527.59,12621.549,12652.453,12605.97,12484.037,12308.51,12144.56,12004.37,12076.39,12820.62,12902.804,12183.791,11154.617,10103.801,12045.02,11012.811,10525.27,10280.767,10416.36,10898.255,11526.51,12513.02,13566.96,14539.049,15439.587,16076.879,16649.788,17388.255,18044.804,18490.482,18772.963,18699.194,18218.323,17407.295,16758.423,16115.12,14609.526,13134.761,9864.373,9192.425,8778.18,8559.528,8597.063,8789.696,9481.706,10732.009,11652.88,12091.156,12307.935,12394.54,12430.98,12257.4,12169.38,11956.246,11800.484,11843.694,12289.972,13237.92,13088.315,12635.97,11835.49,10671.077,10165.471,9617.762,9083.375,8831.359,8896.701,9143.529,9834.037,11248.369,12349.485,12549.501,12769.781,12863.574,12816.851,12617.327,12429.813,12220.011,12068.968,12229.328,13454.3,13936.418,13689.94,13242.68,12443.33,11299.261,11840.886,10995.37,10505.102,10270.873,10422.311,10988.48,11778.709,12684.72,13534.1,14515.71,15396.36,16109.73,16688.59,17445.33,18127.21,18477.304,18582.551,18353.811,17763.234,16958.16,16785.56,15732.91,14032.955,12714.173,10196.5,9655.095,9344.859,9205.024,9387.181,9917.034,10608.62,11807.69,12503.871,13098.34,13537.51,13671.69,13730.96,13887.563,14010.461,14077.797,14061.511,13837.847,13629.86,13461.78,13748.2,13376.942,12230.321,11041.667,9350.498,8964.909,8665.666,8555.509,8785.828,9417.962,10413.846,11467.895,12014.02,12327.63,12614.963,12694.97,12663.453,12687.916,12581.663,12382.828,12247.15,12046.94,11965.301,12286.936,12871.526,12269.805,11083.938,10034.952,10387.458,9728.542,9486.65,9370.203,9415.986,9934.505,10940.317,11728.868,12527.796,13196.68,13769.191,14256.491,14621.31,15082.554,15432.67,15636.44,15667.06,15331.656,14811.86,14912.678,14679.84,13633.147,12423.136,11185.369
5,10311.859,9899.186,9531.512,9365.273,9580.585,10136.415,10960.881,12152.37,12898.493,13491.618,13963.364,14198.91,14149.839,14303.786,14311.591,14209.224,14044.024,13855.259,13671.906,13547.543,14024.49,13729.535,12569.209,11222.21,10074.85,9563.824,9099.189,8874.906,8819.722,9217.341,9829.874,11162.338,12174.356,12513.627,12736.138,12810.191,12778.561,12671.374,12538.61,12365.322,12273.979,12295.86,12821.42,13748.91,13574.37,13094.6,12188.89,11183.256,10978.52,10452.385,10043.58,9839.599,9994.402,10408.56,11042.006,12087.6,13004.212,13776.726,14436.601,14859.206,15169.565,15449.162,15558.035,15628.95,15684.127,15513.814,15116.601,14706.839,14775.305,14601.871,13411.872,12151.475,9683.795,9290.742,8998.677,8930.471,9124.326,9774.993,10728.572,11693.809,12343.546,12705.909,12971.29,13101.494,13045.716,13055.935,12947.744,12763.912,12613.497,12443.11,12303.382,12540.316,13125.002,12487.369,11353.243,10271.767,10628.306,10201.184,9856.331,9731.502,9879.757,10272.027,11392.24,12218.333,12951.95,13576.342,14212.723,14649.345,15066.57,15520.145,15961.314,16080.359,16034.85,15711.9,15273.979,15469.094,15050.367,14021.826,12734.86,11411.396,10033.239,9452.713,9143.08,9054.652,9286.755,9997.251,11103.038,12038.576,12652.33,13251.249,13747.523,14003.004,14124.415,14415.838,14658.45,14709.95,14705.08,14366.58,14227.517,14591.605,14045.634,13228.125,11978.024,10744.674,9791.729,9371.167,9108.023,9007.678,9172.22,9753.725,10723.122,11795.279,12579.155,13166.634,13563.438,13871.649,13876.944,13982.835,14035.666,14068.899,14025.357,13847.96,13537.374,13421.41,13763.656,13211.429,11977.85,10565.41,9664.221,9271.11,8871.247,8808.205,8944.947,9506.765,10589.018,11776.865,12286.516,12631.965,12927.756,13029.743,12946.863,12919.647,12781.858,12635.113,12482.162,12333.419,12334.402,13023.474,13122.24,12499.244,11493.934,10411.363,12318.08,11563.618,11018.562,10704.679,10717.237,11269.754,11884.846,12869.851,13913.162,14978.48,16027.08,16874.08,17626.83,18514.615,19049.49,19461.83,19803.09,19643.653,19139.473,18323.958,17629.764,16993.652,15387.255,13746.687,9676.263,9408.632,9005.888,8905.015,9088.369,9572.752,10628.969,11569.7,12120.29,12668.494,13126.116,13278.601,13318.709,13413.831,13387.788,13361.133,13306.679,13171.389,13475.29,13720.695,13283.26,12486.3,11316.318,10287.553,12120.806,11277.225,10850.839,10609.059,10718.355,11351.717,12252.594,13071.112,14072.163,15020.45,15840.91,16591.26,17092.598,17913.48,18545.229,19093.043,19344.966,19114.207,18533.176,17737.526,17348.801,16300.533,14593.72,13119.177,10495.613,9825.78,9436.126,9099.157,9079.767,9412.762,10199.859,11565.397,12716.84,12998.902,13204.547,13306.135,13221.582,13003.257,12812.64,12594.062,12462.405,12680.147,13906.714,14281.123,14012.188,13560.203,12817.4,11635.377
6,12275.739,11816.105,11210.701,10905.275,11008.422,11501.331,12539.451,13401.257,14374.857,15292.93,16491.71,17213.605,18008.991,18963.527,19797.885,20309.138,20642.742,20269.142,19651.568,18614.787,18233.964,16964.056,15229.512,13522.455,10115.239,9585.373,9170.915,9049.933,9139.922,9722.897,10863.092,12140.338,12750.292,13178.265,13511.275,13640.274,13700.502,13658.55,13592.271,13397.902,13203.264,13029.546,13035.627,13761.564,13793.727,13164.993,12055.684,10906.668,10124.658,9597.759,9275.705,9191.223,9333.055,10002.671,11123.623,12087.526,12738.939,13145.656,13463.623,13627.843,13569.444,13607.893,13479.984,13299.645,13107.172,12908.488,12760.588,13024.606,13570.519,12940.565,11694.361,10583.131,10732.069,10218.145,10003.921,9832.734,9947.541,10498.188,11414.774,12716.464,13371.209,13993.296,14427.438,14863.477,15163.384,15618.5,16021.647,16223.448,16392.979,16263.937,15830.447,15268.887,15127.005,14507.942,13094.152,11643.62,10790.296,10248.23,9830.206,9438.331,9381.75,9572.633,10344.735,11897.85,13044.751,13338.352,13471.344,13569.252,13464.05,13398.546,13191.08,12932.199,12790.877,12958.155,14136.284,14627.923,14388.974,13895.217,13066.167,11786.58,10414.716,9830.882,9482.505,9238.254,9281.385,9516.664,10304.919,11658.562,12656.799,13018.412,13155.579,13230.613,13187.511,13042.685,12949.458,12738.219,12632.255,12669.819,13064.749,13954.35,13789.957,13389.08,12657.229,11488.229,11402.094,10854.048,10499.217,10370.908,10526.88,10864.791,11438.111,12566.003,13563.296,14305.303,14865.456,15250.365,15484.316,16059.035,16455.267,16754.032,16959.905,16774.981,16407.771,15719.657,15203.449,15033.152,13794.333,12476.25,10174.858,9715.628,9368.608,9173.849,9383.814,10053.949,11079.206,12073.278,12544.014,13041.156,13452.598,13625.039,13616.609,13716.658,13670.008,13645.478,13598.09,13457.463,13882.415,14086.646,13655.106,12950.332,11687.368,10708.044,10336.477,9755.48,9394.636,9315.134,9505.045,10023.185,11258.552,12353.933,12833.221,13399.0,13826.139,14113.805,14227.32,14317.21,14471.158,14418.794,14346.085,14064.236,14212.349,14572.31,14116.494,13352.741,12049.568,10882.947,10265.166,9709.384,9453.879,9340.096,9535.088,10251.024,11411.261,12403.393,12964.341,13568.73,13995.609,14300.176,14511.403,14953.076,15219.414,15340.306,15317.42,14894.679,14778.531,15009.854,14415.376,13557.343,12236.151,10967.156,10959.445,10424.903,10088.016,9951.977,10022.838,10577.445,11732.382,12587.417,13389.236,14114.45,14640.822,15236.374,15697.429,16178.27,16540.015,16747.764,16802.738,16447.767,15744.165,15748.845,15502.033,14440.814,13237.58,11964.517,10419.074,9770.649,9439.94,9306.241,9551.042,10277.435,11289.236,12360.124,13076.13,13577.522,13998.413,14334.39,14581.144,14904.032,15040.883,15018.065,14933.918,14683.264,14332.774,14206.236,14478.4,13784.87,12508.941,11149.302
